,model,price,price_score,plate,Reg. year,Fuel,KM driven,Transmission,Engine capacity,Ownership,Make year,Insurance type,Source,variant,car_age,reg_age,ngt_life,ngt_critical,frequency,re_register,km_per_year,is_luxury_brand,ownership_strength
15359,KIA SELTOS,1200000.0,,Noida,2022,Petrol,60000,Automatic,1497.0,1,2022,-,CarDekho,HTX IVT G,4,4,11,False,444,True,15000.0,False,0.25
15360,AUDI Q3,3950000.0,,Chandigarh,2026,Petrol,5200,Automatic,1984.0,1,2026,Zero Dep,CarDekho,PREMIUM PLUS,0,0,15,False,19,True,inf,True,inf
15362,MARUTI VITARA BREZZA,732000.0,,Faridabad,2021,Petrol,60957,Manual,1462.0,1,2021,Comprehensive,CarDekho,ZXI PLUS,5,5,10,False,58,True,12191.4,False,0.2
15367,SKODA SLAVIA,1155000.0,,Faridabad,2022,Petrol,59000,Automatic,999.0,1,2022,Comprehensive,CarDekho, TSI STYLE  BSVI,4,4,11,False,41,True,14750.0,False,0.25
15369,MARUTI VITARA BREZZA,530000.0,,Meerut,2020,Petrol,57000,Manual,1462.0,1,2020,-,CarDekho,VXI,6,6,9,False,58,True,9500.0,False,0.16666666666666666
15371,HYUNDAI CRETA,525000.0,,Noida,2016,Petrol,82000,Automatic,1591.0,1,2016,-,CarDekho, VTVT  SX PLUS,10,10,5,False,681,True,8200.0,False,0.1
15372,FORD FIESTA,100000.0,,Dehradun,2008,Petrol,70000,Manual,1388.0,1,2008,-,CarDekho, DURASPORT EXI,18,18,-3,True,3,True,3888.89,False,0.05555555555555555
15374,JEEP COMPASS,1800000.0,,New Delhi,2022,Diesel,35000,Automatic,1956.0,1,2022,-,CarDekho, ANNIVERSARY EDITION 4X4  BSVI,4,4,6,False,163,False,8750.0,False,0.25
15375,HONDA AMAZE,490000.00000000006,,New Delhi,2018,Petrol,62142,Automatic,1199.0,1,2018,Comprehensive,CarDekho,V CVT  BSIV,8,8,7,False,408,False,7767.75,False,0.125
15376,HONDA JAZZ,387000.0,,New Delhi,2016,Petrol,51421,Automatic,1199.0,1,2016,Comprehensive,CarDekho, S  I VTEC,10,10,5,False,127,False,5142.1,False,0.1
15377,HYUNDAI I10,267000.0,,Ghaziabad,2015,Petrol,42865,Manual,1086.0,1,2015,Comprehensive,CarDekho,SPORTZ ,11,11,4,False,373,True,3896.82,False,0.09090909090909091
15378,TATA ALTROZ,693000.0,,HR98,2022,Petrol,12093,Manual,1199.0,1,2022,Comprehensive,CarDekho,XZ TURBO,4,4,11,False,100,True,3023.25,False,0.25
15379,FORD ECOSPORT,650000.0,,Pathankot,2018,Diesel,120000,Manual,1498.0,1,2018,-,CarDekho,  TITANIUM PLUS BSIV,8,8,2,True,314,True,15000.0,False,0.125
15380,HONDA CITY,302000.0,,New Delhi,2014,Diesel,42512,Manual,1498.0,1,2014,Third Party,CarDekho,I DTEC V,12,12,-2,True,684,False,3542.67,False,0.08333333333333333
15381,JEEP COMPASS,994999.9999999999,,Gurgaon,2018,Diesel,62200,Manual,1956.0,2,2018,-,CarDekho, LIMITED OPTION,8,8,2,True,163,True,7775.0,False,0.25
15382,MAHINDRA XUV700,1725000.0,,Gurgaon,2024,Petrol,20000,Automatic,1999.0,1,2024,Zero Dep,CarDekho,AX5 5STR ,2,2,13,False,79,True,10000.0,False,0.5
15383,BMW 5 SERIES,800000.0,,Gurgaon,2011,Diesel,49000,Automatic,2993.0,2,2011,Comprehensive,CarDekho,530D,15,15,-5,True,14,True,3266.67,False,0.13333333333333333
15385,TOYOTA INNOVA HYCROSS,2075000.0,,New Delhi,2023,Petrol,36000,Automatic,1987.0,1,2023,Comprehensive,CarDekho,GX 7STR BSVI,3,3,12,False,5,False,12000.0,False,0.3333333333333333
15387,MARUTI BALENO,386000.0,,Hisar,2017,Diesel,57996,Manual,1248.0,1,2017,Comprehensive,CarDekho,DELTA ,9,9,1,True,493,True,6444.0,False,0.1111111111111111
15391,MARUTI ALTO K10,390000.0,,Faridabad,2025,Petrol,4500,Manual,998.0,1,2025,Third Party,CarDekho,VXI,1,1,14,False,39,True,4500.0,False,1.0
15396,JEEP COMPASS,1449000.0,,Faridabad,2021,Petrol,29000,Automatic,1368.0,1,2021,-,CarDekho, LIMITED OPT DCT BSVI,5,5,10,False,163,True,5800.0,False,0.2
15397,HONDA JAZZ,320000.0,,Noida,2016,Petrol,60000,Manual,1199.0,2,2016,-,CarDekho, SV I VTEC,10,10,5,False,127,True,6000.0,False,0.2
15398,BMW 3 SERIES LONG WHEELBASE,3600000.0,,Lucknow,2022,Petrol,80000,Automatic,1998.0,1,2022,-,CarDekho,330LI M SPORT FIRST EDITION,4,4,11,False,5,True,20000.0,False,0.25
15400,JEEP COMPASS,675000.0,,New Delhi,2018,Diesel,70000,Manual,1956.0,1,2018,-,CarDekho, LIMITED,8,8,2,True,163,False,8750.0,False,0.125
15401,KIA SELTOS,1390000.0,,Gurgaon,2023,Petrol,34000,Automatic,1482.0,1,2023,-,CarDekho,GTX PLUS S TURBO DCT,3,3,12,False,444,True,11333.33,False,0.3333333333333333
15402,HYUNDAI SANTRO,295000.0,,New Delhi,2018,Petrol,38000,Automatic,1086.0,1,2018,-,CarDekho,SPORTZ A BSIV,8,8,7,False,136,False,4750.0,False,0.125
15411,HONDA AMAZE,425000.0,,Ghaziabad,2016,Petrol,17834,Automatic,1199.0,1,2016,Comprehensive,CarDekho,VX CVT I-VTEC,10,10,5,False,408,True,1783.4,False,0.1
15415,MARUTI WAGON R,268000.0,,New Delhi,2015,Petrol,23983,Manual,998.0,1,2015,Comprehensive,CarDekho,VXI,11,11,4,False,595,False,2180.27,False,0.09090909090909091
15416,HYUNDAI EXTER,725000.0,,New Delhi,2023,Petrol,16200,Automatic,1197.0,1,2023,Zero Dep,CarDekho,SX OPT A,3,3,12,False,16,False,5400.0,False,0.3333333333333333
15418,RENAULT KWID,215000.0,,New Delhi,2018,Petrol,54000,Automatic,999.0,1,2018,-,CarDekho,CLIMBER  A,8,8,7,False,190,False,6750.0,False,0.125
15419,HYUNDAI VENUE,685000.0,,HR98,2023,Petrol,49000,Manual,1197.0,1,2023,Third Party,CarDekho,S 2023-2025,3,3,12,False,235,True,16333.33,False,0.3333333333333333
15421,MERCEDES-BENZ C-CLASS,3050000.0,,New Delhi,2019,Petrol,41000,Automatic,1950.0,1,2019,Third Party,CarDekho,PROGRESSIVE C 200,7,7,8,False,28,False,5857.14,True,0.14285714285714285
15423,HYUNDAI ALCAZAR,1450000.0,,New Delhi,2022,Diesel,54000,Automatic,1493.0,1,2022,Comprehensive,CarDekho,PRESTIGE (O) 7-SEER   BSVI,4,4,6,False,27,False,13500.0,False,0.25
15424,MARUTI BALENO,330000.0,,New Delhi,2015,Petrol,29000,Manual,1197.0,1,2015,-,CarDekho, DELTA,11,11,4,False,493,False,2636.36,False,0.09090909090909091
15425,BMW 5 SERIES,6950000.0,,New Delhi,2025,Petrol,9000,Automatic,1998.0,1,2025,Comprehensive,CarDekho,530LI,1,1,14,False,14,False,9000.0,False,1.0
15427,HYUNDAI CRETA,450000.0,,Faridabad,2015,Petrol,150000,Manual,1591.0,1,2015,-,CarDekho, VTVT SX PLUS,11,11,4,False,681,True,13636.36,False,0.09090909090909091
15428,KIA SELTOS,880000.0000000001,,Faridabad,2019,Petrol,55000,Automatic,1353.0,1,2019,Comprehensive,CarDekho,GTX PLUS DCT,7,7,8,False,444,True,7857.14,False,0.14285714285714285
15429,HYUNDAI GRAND I10,299000.0,,New Delhi,2015,Petrol,68000,Manual,1197.0,1,2015,Zero Dep,CarDekho,SPORTZ,11,11,4,False,457,False,6181.82,False,0.09090909090909091
15432,HYUNDAI I20,400000.0,,Ghaziabad,2017,Petrol,50000,Manual,1197.0,1,2017,-,CarDekho,MAGNA ,9,9,6,False,314,True,5555.56,False,0.1111111111111111
15436,HYUNDAI GRAND I10,391000.0,,Gurgaon,2019,Petrol,28424,Manual,1197.0,1,2019,-,CarDekho, KAPPA SPORTZ BSIV,7,7,8,False,457,True,4060.57,False,0.14285714285714285
15439,MARUTI BALENO,368000.0,,Gurgaon,2018,Diesel,102989,Manual,1248.0,1,2018,Comprehensive,CarDekho,DELTA ,8,8,2,True,493,True,12873.62,False,0.125
15440,MERCEDES-BENZ E-CLASS,3000000.0,,New Delhi,2019,Petrol,27000,Automatic,1991.0,1,2019,Comprehensive,CarDekho,EXPRESSION E 200 BSIV,7,7,8,False,30,False,3857.14,True,0.14285714285714285
15441,KIA SONET,850000.0,,HR98,2021,Diesel,39311,Manual,1493.0,1,2021,Zero Dep,CarDekho,GTX PLUS  BSVI,5,5,5,False,223,True,7862.2,False,0.2
15443,HYUNDAI GRAND I10,310000.0,,New Delhi,2017,Petrol,25100,Manual,1197.0,1,2017,Third Party,CarDekho, KAPPA SPORTZ BSIV,9,9,6,False,457,False,2788.89,False,0.1111111111111111
15445,HYUNDAI GRAND I10,422000.0,,New Delhi,2019,Petrol,26962,Manual,1197.0,1,2019,Comprehensive,CarDekho, KAPPA SPORTZ BSIV,7,7,8,False,457,False,3851.71,False,0.14285714285714285
15447,MARUTI BALENO,433000.0,,New Delhi,2017,Diesel,31487,Manual,1248.0,1,2017,Comprehensive,CarDekho,ZETA ,9,9,1,True,493,False,3498.56,False,0.1111111111111111
15448,RENAULT DUSTER,425000.0,,New Delhi,2018,Diesel,75000,Manual,1461.0,1,2018,Comprehensive,CarDekho,SANDSTORM RXS 85 PS,8,8,2,True,79,False,9375.0,False,0.125
15451,MERCEDES-BENZ GLE,3699000.0,,Ghaziabad,2017,Petrol,75000,Automatic,2996.0,1,2017,Comprehensive,CarDekho,43 AMG COUPE,9,9,6,False,10,True,8333.33,True,0.1111111111111111
15453,MARUTI SWIFT,649000.0,,New Delhi,2023,Petrol,43000,Manual,1197.0,1,2023,Comprehensive,CarDekho,VXI,3,3,12,False,594,False,14333.33,False,0.3333333333333333
15455,HYUNDAI GRAND I10,320000.0,,New Delhi,2016,Petrol,48569,Manual,1197.0,2,2016,Comprehensive,CarDekho, KAPPA MAGNA BSIV,10,10,5,False,457,False,4856.9,False,0.2
15456,MARUTI CELERIO,264000.0,,New Delhi,2015,Petrol,100439,Manual,998.0,1,2015,Comprehensive,CarDekho,ZXI,11,11,4,False,170,False,9130.82,False,0.09090909090909091
15457,RENAULT KWID,403000.0,,bahadurgarh,2022,Petrol,10186,Automatic,999.0,1,2022,Comprehensive,CarDekho, A RXT,4,4,11,False,190,True,2546.5,False,0.25
15461,KIA CARENS,1250000.0,,Solan,2024,Petrol,20000,Manual,1497.0,1,2024,-,CarDekho,PRESTIGE,2,2,13,False,90,True,10000.0,False,0.5
15462,KIA SELTOS,894999.9999999999,,New Delhi,2020,Petrol,83148,Manual,1497.0,1,2020,Zero Dep,CarDekho,HTX G,6,6,9,False,444,False,13858.0,False,0.16666666666666666
15463,HYUNDAI GRAND I10,291000.0,,New Delhi,2014,Petrol,55937,Manual,1197.0,2,2014,Comprehensive,CarDekho, KAPPA ASTA,12,12,3,True,457,False,4661.42,False,0.16666666666666666
15465,HYUNDAI I20,692000.0,,Faridabad,2022,Petrol,25675,Manual,1197.0,1,2022,Comprehensive,CarDekho,ASTA ,4,4,11,False,314,True,6418.75,False,0.25
15472,TOYOTA FORTUNER,3950000.0,,Noida,2024,Diesel,17000,Automatic,2755.0,1,2024,Zero Dep,CarDekho,4X2  ,2,2,8,False,24,True,8500.0,False,0.5
15473,MARUTI SWIFT,475000.0,,New Delhi,2020,Petrol,75000,Manual,1197.0,1,2020,Comprehensive,CarDekho,VXI,6,6,9,False,594,False,12500.0,False,0.16666666666666666
15474,MARUTI BALENO,419000.00000000006,,Rohtak,2018,Diesel,37866,Manual,1248.0,2,2018,Comprehensive,CarDekho,DELTA ,8,8,2,True,493,True,4733.25,False,0.25
15475,FORD ECOSPORT,369000.0,,Noida,2019,Diesel,92476,Manual,1498.0,1,2019,Comprehensive,CarDekho,AMBIENTE ,7,7,3,True,314,True,13210.86,False,0.14285714285714285
15478,FORD ECOSPORT,748000.0,,Faridabad,2021,Petrol,81508,Manual,1496.0,1,2021,Comprehensive,CarDekho,SPORTS,5,5,10,False,314,True,16301.6,False,0.2
15483,HYUNDAI GRAND I10,325000.0,,New Delhi,2016,Petrol,65324,Manual,1197.0,2,2016,-,CarDekho,SPORTZ,10,10,5,False,457,False,6532.4,False,0.2
15484,HYUNDAI I10,231999.99999999997,,Karnal,2014,Petrol,51501,Manual,1197.0,1,2014,Comprehensive,CarDekho,MAGNA  ITECH SE,12,12,3,True,373,True,4291.75,False,0.08333333333333333
15486,LEXUS ES,4599000.0,,New Delhi,2022,Petrol,12000,Automatic,2487.0,1,2022,Zero Dep,CarDekho,300H EXQUISITE,4,4,11,False,5,False,3000.0,True,0.25
15487,AUDI A3,1295000.0,,New Delhi,2018,Diesel,75000,Automatic,1968.0,1,2018,Comprehensive,CarDekho,35 TDI PREMIUM PLUS,8,8,2,True,2,False,9375.0,True,0.125
15490,TOYOTA CAMRY,875000.0,,Noida,2018,Petrol,6000,Automatic,2494.0,1,2018,Comprehensive,CarDekho, HYBRID,8,8,7,False,23,True,750.0,False,0.125
15491,CHEVROLET CRUZE,500000.0,,Muzaffarnagar,2017,Diesel,85000,Manual,1998.0,1,2017,Comprehensive,CarDekho,LTZ,9,9,1,True,1,True,9444.44,False,0.1111111111111111
15493,BMW X1,3875000.0,,Bhubaneswar,2023,Diesel,18000,Automatic,1995.0,1,2023,Comprehensive,CarDekho,SDRIVE18D M SPORT,3,3,7,False,23,True,6000.0,False,0.3333333333333333
15496,JEEP MERIDIAN,3095000.0,,Noida,2024,Diesel,27000,Automatic,1956.0,1,2024,-,CarDekho,LIMITED OPT 4X4 ,2,2,8,False,8,True,13500.0,False,0.5
15498,HYUNDAI CRETA,1150000.0,,Gurgaon,2022,Petrol,66000,Automatic,1497.0,1,2022,Comprehensive,CarDekho,SX OPT IVT BSVI,4,4,11,False,681,True,16500.0,False,0.25
15500,RENAULT KWID,182000.0,,New Delhi,2016,Petrol,17520,Manual,799.0,1,2016,Third Party,CarDekho,RXL,10,10,5,False,190,False,1752.0,False,0.1
15502,MARUTI SWIFT DZIRE TOUR,500000.0,,Alwar,2021,Petrol,82000,Manual,1197.0,1,2021,-,CarDekho, S STD,5,5,10,False,3,True,16400.0,False,0.2
15503,KIA SELTOS,1300000.0,,New Delhi,2025,Petrol,13000,Manual,1497.0,1,2025,Comprehensive,CarDekho,HTE (O),1,1,14,False,444,False,13000.0,False,1.0
15504,HYUNDAI GRAND I10,409999.99999999994,,New Delhi,2018,Petrol,66999,Manual,1197.0,1,2018,-,CarDekho, KAPPA SPORTZ BSIV,8,8,7,False,457,False,8374.88,False,0.125
15505,HYUNDAI EON,100000.0,,Mahendragarh,2012,Petrol,70000,Manual,814.0,2,2012,-,CarDekho,ERA,14,14,1,True,109,True,5000.0,False,0.14285714285714285
15507,MARUTI WAGON R,430000.0,,New Delhi,2021,CNG,75000,Manual,998.0,1,2021,Comprehensive,CarDekho, LXI,5,5,10,False,595,False,15000.0,False,0.2
15513,HYUNDAI GRAND I10,349000.0,,New Delhi,2017,Petrol,67036,Automatic,1197.0,1,2017,-,CarDekho, KAPPA MAGNA ,9,9,6,False,457,False,7448.44,False,0.1111111111111111
15515,KIA CARENS,1450000.0,,New Delhi,2022,Petrol,39000,Automatic,1353.0,1,2022,Comprehensive,CarDekho,LUXURY PLUS TURBO DCT 6 STR 2022-2023,4,4,11,False,90,False,9750.0,False,0.25
15516,TATA ZEST,225000.0,,New Delhi,2015,Petrol,68000,Manual,1193.0,1,2015,Comprehensive,CarDekho,REVOTRON  XT,11,11,4,False,16,False,6181.82,False,0.09090909090909091
15518,HYUNDAI GRAND I10,393000.0,,New Delhi,2016,Petrol,64490,Automatic,1197.0,1,2016,Comprehensive,CarDekho, ASTA,10,10,5,False,457,False,6449.0,False,0.1
15519,MAHINDRA BOLERO NEO,1090000.0,,New Delhi,2026,Diesel,2000,Manual,1493.0,1,2026,-,CarDekho,N10 R,0,0,10,False,8,False,inf,False,inf
15522,NISSAN MAGNITE,575000.0,,New Delhi,2021,Petrol,21000,Automatic,999.0,1,2021,-,CarDekho,TURBO CVT XV BSVI,5,5,10,False,87,False,4200.0,False,0.2
15525,MG HECTOR,1064000.0,,Gurgaon,2020,Petrol,61944,Automatic,1451.0,1,2020,Comprehensive,CarDekho,SHARP DCT,6,6,9,False,244,True,10324.0,False,0.16666666666666666
15526,MARUTI SWIFT,320000.0,,New Delhi,2016,Petrol,59000,Manual,1197.0,1,2016,Comprehensive,CarDekho,LXI OPTION,10,10,5,False,594,False,5900.0,False,0.1
15530,MARUTI BALENO,447000.0,,New Delhi,2020,Diesel,93766,Manual,1248.0,1,2020,Comprehensive,CarDekho,DELTA ,6,6,4,False,493,False,15627.67,False,0.16666666666666666
15531,MAHINDRA XUV500,835000.0,,New Delhi,2018,Diesel,28000,Automatic,2179.0,1,2018,Zero Dep,CarDekho,W7  BSIV,8,8,2,True,144,False,3500.0,False,0.125
15532,HYUNDAI GRAND I10,365000.0,,New Delhi,2018,Petrol,46000,Manual,1197.0,1,2018,Comprehensive,CarDekho, KAPPA SPORTZ BSIV,8,8,7,False,457,False,5750.0,False,0.125
15533,MERCEDES-BENZ S-CLASS,10800000.0,,New Delhi,2022,Petrol,20000,Automatic,2999.0,1,2022,Zero Dep,CarDekho,S450 4MIC BSVI,4,4,11,False,7,False,5000.0,True,0.25
15534,HYUNDAI GRAND I10,347000.0,,New Delhi,2018,Petrol,62269,Manual,1197.0,2,2018,Comprehensive,CarDekho, KAPPA MAGNA BSIV,8,8,7,False,457,False,7783.62,False,0.25
15536,JEEP COMPASS,595000.0,,New Delhi,2017,Petrol,65000,Automatic,1368.0,1,2017,-,CarDekho, LIMITED OPTION,9,9,6,False,163,False,7222.22,False,0.1111111111111111
15537,LAND ROVER RANGE ROVER VELAR,4975000.0,,Faridabad,2020,Petrol,29500,Automatic,1997.0,2,2020,Zero Dep,CarDekho,R-DYNAMIC S  MY21,6,6,9,False,3,True,4916.67,True,0.3333333333333333
15541,HYUNDAI I20,750000.0,,Lucknow,2021,Petrol,68000,Automatic,998.0,1,2021,-,CarDekho,ASTA TURBO DCT,5,5,10,False,314,True,13600.0,False,0.2
15542,HONDA BRIO,315000.0,,Ghaziabad,2014,Petrol,23454,Automatic,1198.0,1,2014,Comprehensive,CarDekho,VX ,12,12,3,True,106,True,1954.5,False,0.08333333333333333
15546,SKODA SUPERB,1590000.0,,Ghaziabad,2022,Petrol,99500,Automatic,1984.0,1,2022,-,CarDekho,LAURIN & KLEMENT BSVI,4,4,11,False,31,True,24875.0,False,0.25
15547,MARUTI SWIFT DZIRE,390000.0,,ballabhgarh,2019,Petrol,64890,Manual,1197.0,1,2019,-,CarDekho,LXI ,7,7,8,False,92,True,9270.0,False,0.14285714285714285
15549,HYUNDAI GRAND I10,425000.0,,New Delhi,2018,Petrol,55000,Automatic,1197.0,1,2018,Comprehensive,CarDekho, KAPPA MAGNA ,8,8,7,False,457,False,6875.0,False,0.125
15550,TOYOTA INNOVA CRYSTA,2025000.0,,Faridabad,2021,Diesel,89000,Manual,2393.0,1,2021,-,CarDekho, ZX 7 STR,5,5,5,False,116,True,17800.0,False,0.2
15551,MG ASTOR,1090000.0,,HR98,2023,Petrol,49000,Automatic,1498.0,1,2023,Comprehensive,CarDekho,SAVVY CVT RED BSVI,3,3,12,False,71,True,16333.33,False,0.3333333333333333
15553,KIA SONET,795000.0,,Sonipat,2020,Petrol,111598,Automatic,998.0,2,2020,Comprehensive,CarDekho,GTX PLUS TURBO DCT DT,6,6,9,False,223,True,18599.67,False,0.3333333333333333
15555,HONDA BRIO,244000.0,,New Delhi,2014,Petrol,54262,Manual,1198.0,1,2014,Comprehensive,CarDekho,S ,12,12,3,True,106,False,4521.83,False,0.08333333333333333
15556,MAHINDRA THAR ROXX,1750000.0,,Gurgaon,2024,Diesel,19000,Automatic,2184.0,1,2024,Comprehensive,CarDekho,MX3 RWD  ,2,2,8,False,1,True,9500.0,False,0.5
15560,TATA HARRIER,785000.0,,New Delhi,2019,Diesel,78000,Manual,1956.0,1,2019,-,CarDekho,XZ BSIV,7,7,3,True,117,False,11142.86,False,0.14285714285714285
15561,HYUNDAI CRETA,580000.0,,Gurgaon,2016,Petrol,72271,Automatic,1591.0,1,2016,Third Party,CarDekho, VTVT  SX PLUS,10,10,5,False,681,True,7227.1,False,0.1
15562,MAHINDRA XUV700,2125000.0,,New Delhi,2025,Petrol,11500,Automatic,1999.0,1,2025,Zero Dep,CarDekho,AX7 7STR ,1,1,14,False,79,False,11500.0,False,1.0
15564,JEEP MERIDIAN,1889999.9999999998,,New Delhi,2022,Diesel,75000,Automatic,1956.0,1,2022,Comprehensive,CarDekho,LIMITED OPT  BSVI,4,4,6,False,8,False,18750.0,False,0.25
15566,BMW 6 SERIES,2600000.0,,New Delhi,2018,Petrol,58000,Automatic,1998.0,1,2018,Comprehensive,CarDekho,GT,8,8,7,False,9,False,7250.0,False,0.125
15567,MARUTI VITARA BREZZA,550000.0,,New Delhi,2018,Diesel,40000,Manual,1248.0,1,2018,Comprehensive,CarDekho,VDI,8,8,2,True,58,False,5000.0,False,0.125
15572,KIA SELTOS,1549000.0,,New Delhi,2024,Petrol,13000,Automatic,1497.0,1,2024,Comprehensive,CarDekho,HTX IVT,2,2,13,False,444,False,6500.0,False,0.5
15573,HONDA AMAZE,433000.0,,Noida,2020,Petrol,54229,Manual,1199.0,2,2019,Comprehensive,CarDekho,V,7,6,8,False,408,True,7747.0,False,0.2857142857142857
15575,FORD ECOSPORT,615000.0,,Gurgaon,2019,Petrol,33538,Automatic,1496.0,2,2019,Comprehensive,CarDekho,TITANIUM PLUS ,7,7,8,False,314,True,4791.14,False,0.2857142857142857
15576,TATA TIAGO,399000.0,,New Delhi,2020,Petrol,30000,Manual,1199.0,1,2019,Third Party,CarDekho, REVOTRON XE,7,6,8,False,260,False,4285.71,False,0.14285714285714285
15579,HYUNDAI VERNA,645000.0,,Gurgaon,2018,Petrol,60885,Manual,1591.0,2,2018,Comprehensive,CarDekho, VTVT SX,8,8,7,False,220,True,7610.62,False,0.25
15580,HYUNDAI CRETA,725000.0,,New Delhi,2019,Petrol,85000,Manual,1591.0,1,2019,-,CarDekho, SX OPTION,7,7,8,False,681,False,12142.86,False,0.14285714285714285
15581,KIA SELTOS,905000.0000000001,,Faridabad,2021,Diesel,59537,Manual,1493.0,1,2021,Comprehensive,CarDekho,HTX ,5,5,5,False,444,True,11907.4,False,0.2
15582,MAHINDRA SCORPIO,1010000.0,,New Delhi,2021,Diesel,58000,Manual,2179.0,1,2021,-,CarDekho,S5,5,5,5,False,65,False,11600.0,False,0.2
15587,LEXUS ES,3245000.0000000005,,Shimla,2020,Petrol,65000,Automatic,2487.0,1,2020,Comprehensive,CarDekho,300H EXQUISITE 2020-2022,6,6,9,False,5,True,10833.33,True,0.16666666666666666
15592,TATA PUNCH,575000.0,,Lucknow,2023,Petrol,62000,Automatic,1199.0,1,2023,-,CarDekho,ADVENTURE A,3,3,12,False,119,True,20666.67,False,0.3333333333333333
15595,TATA TIAGO,507000.0,,Faridabad,2022,CNG,113341,Manual,1199.0,1,2022,Comprehensive,CarDekho,XZ ,4,4,11,False,260,True,28335.25,False,0.25
15596,KIA SELTOS,1054000.0,,New Delhi,2022,Petrol,77455,Automatic,1497.0,1,2022,Comprehensive,CarDekho,HTX (O) IVT,4,4,11,False,444,False,19363.75,False,0.25
15597,MARUTI CELERIO,358000.0,,New Delhi,2020,Petrol,37414,Manual,998.0,1,2020,Third Party,CarDekho,VXI,6,6,9,False,170,False,6235.67,False,0.16666666666666666
15598,MARUTI BALENO,725000.0,,New Delhi,2022,Petrol,24000,Automatic,1197.0,1,2022,Comprehensive,CarDekho,ALPHA CVT,4,4,11,False,493,False,6000.0,False,0.25
15600,AUDI Q7,2590000.0,,Chandigarh,2019,Diesel,157000,Automatic,2967.0,2,2019,Zero Dep,CarDekho,45 TDI QUTRO PREMIUM PLUS,7,7,3,True,7,True,22428.57,True,0.2857142857142857
15601,LAND ROVER DISCOVERY,2990000.0,,Una,2019,Petrol,45000,Automatic,1999.0,2,2019,-,CarDekho,HSE  SD4,7,7,8,False,4,True,6428.57,True,0.2857142857142857
15606,TATA TIAGO,468000.0,,New Delhi,2023,CNG,27971,Manual,1199.0,1,2022,Third Party,CarDekho,XZ PLUS  BSVI,4,3,11,False,260,False,6992.75,False,0.25
15612,AUDI Q7,3490000.0,,Gurgaon,2019,Petrol,90000,Automatic,2967.0,2,2019,Comprehensive,CarDekho,45 TFSI TECHNOLOGY,7,7,8,False,7,True,12857.14,True,0.2857142857142857
15616,MAHINDRA TUV 300,520000.0,,New Delhi,2018,Diesel,175000,Manual,1493.0,2,2015,Comprehensive,CarDekho,T8,11,8,-1,True,1,False,15909.09,False,0.18181818181818182
15618,KIA SELTOS,985000.0,,New Delhi,2020,Petrol,56098,Automatic,1497.0,1,2020,Comprehensive,CarDekho,HTX IVT,6,6,9,False,444,False,9349.67,False,0.16666666666666666
15620,MARUTI BALENO,364000.0,,Gurgaon,2017,Diesel,104972,Manual,1248.0,1,2017,Comprehensive,CarDekho,DELTA ,9,9,1,True,493,True,11663.56,False,0.1111111111111111
15621,TATA NEXON,595000.0,,Noida,2018,Petrol,51000,Automatic,1198.0,1,2018,Comprehensive,CarDekho, REVOTRON XZA PLUS,8,8,7,False,367,True,6375.0,False,0.125
15624,FORD ECOSPORT,725000.0,,New Delhi,2021,Diesel,50000,Manual,1498.0,1,2021,Comprehensive,CarDekho,  TITANIUM,5,5,5,False,314,False,10000.0,False,0.2
15625,HYUNDAI GRAND I10,337000.0,,New Delhi,2017,Petrol,90327,Manual,1197.0,2,2017,Comprehensive,CarDekho, KAPPA SPORTZ OPTION,9,9,6,False,457,False,10036.33,False,0.2222222222222222
15627,MARUTI ERTIGA,969000.0,,Noida,2023,CNG,40000,Manual,1462.0,1,2023,-,CarDekho,VXI ,3,3,12,False,148,True,13333.33,False,0.3333333333333333
15630,MARUTI CIAZ,365000.0,,DL90,2016,Petrol,35000,Manual,1373.0,1,2016,Comprehensive,CarDekho,VXI,10,10,5,False,268,False,3500.0,False,0.1
15632,HYUNDAI SANTRO,399000.0,,HR98,2022,Petrol,42000,Automatic,1086.0,1,2022,-,CarDekho,SPORTZ A,4,4,11,False,136,True,10500.0,False,0.25
15634,MARUTI CIAZ,530000.0,,New Delhi,2019,Petrol,54000,Automatic,1462.0,1,2019,-,CarDekho,ALPHA AUTOMIC BSIV,7,7,8,False,268,False,7714.29,False,0.14285714285714285
15635,FORD ECOSPORT,355000.0,,New Delhi,2017,Petrol,102473,Manual,1499.0,1,2017,Third Party,CarDekho, TI VCT  TREND BSIV,9,9,6,False,314,False,11385.89,False,0.1111111111111111
15639,HYUNDAI CRETA,890000.0,,HR98,2021,Diesel,47000,Manual,1493.0,1,2021,-,CarDekho,EX  BSVI,5,5,5,False,681,True,9400.0,False,0.2
15640,HONDA CITY,1050000.0,,Gurgaon,2022,Petrol,41000,Automatic,1498.0,1,2022,Comprehensive,CarDekho,ZX CVT,4,4,11,False,684,True,10250.0,False,0.25
15643,HYUNDAI I20,760000.0,,gohana,2025,Petrol,21000,Manual,1197.0,1,2025,Comprehensive,CarDekho,ASTA,1,1,14,False,314,True,21000.0,False,1.0
15645,MARUTI BALENO,399000.0,,Gurgaon,2017,Petrol,33581,Manual,1197.0,1,2017,Third Party,CarDekho, ALPHA,9,9,6,False,493,True,3731.22,False,0.1111111111111111
15646,VOLKSWAGEN POLO,525000.0,,New Delhi,2017,Petrol,95000,Automatic,1197.0,1,2017,Comprehensive,CarDekho,GT TSI,9,9,6,False,114,False,10555.56,False,0.1111111111111111
